Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1377
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1583
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1530
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1432
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1594
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1575
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1560
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1608
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,1800
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1577
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1645
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1675
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,1714
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,TBD
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,1755
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1641
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1532
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,1582
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,1637
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1535
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,1676
Earnings,Susquehanna WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1677
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,6
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,149
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,224
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,-237
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,-22
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-2710
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1322
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,1498
Job Change,Susquehanna WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,1663
